STATION,ICAO,L,AT,,LO,NG,,ELEV,M
SEMINOLE,KSRE,35,16,N,96,41,W,312,X
SEMINOLE,KGNC,32,41,N,102,39,W,1010,X
SEMMERZAKE (MIL),EBSZ,50,56,N,3,39,E,37,X
SEMNAN,OIIS,35,23,N,53,40,E,1115,X
SENANGA,FLSN,16,6,S,23,16,E,1027,X
SENDAI AIRPORT,RJSS,38,7,N,140,55,E,5,X
SENNAR,HSNR,13,33,N,33,37,E,418,X
SENNELAGER,KQAK,51,55,N,8,45,E,181,X
SEOUL (KOR-AF HQ,RKSF,37,30,N,126,55,E,49,X
SEOUL CITY,RKSL,37,34,N,126,58,E,87,X
SEOUL EAST(KOR-A,RKSM,37,25,N,127,7,E,20,X
SEOUL/KIMPO INTL,RKSS,37,32,N,126,47,E,19,X
SEPINGGAN,WALL,1,16,S,116,54,E,3,X
SEPT ILES,CXZV,50,13,N,66,15,W,52,X
SEPT ILES AIRPOR,CYZV,50,13,N,66,16,W,55,X
SERENJE,FLSE,13,13,S,30,13,E,1384,X
SERUI/YENDOSA,WABO,1,52,S,136,13,E,3,X
SESHEKE,FLSS,17,28,S,24,18,E,951,X
SETIF/AIN-ARNAT,DAAS,36,10,N,5,20,E,1038,X
SEVEN PERSONS,CPSV,49,55,N,110,55,W,766,X
SEVILLA (CIV/MIL,LEZL,37,25,N,5,54,W,31,X
SEVILLA/TABLADA,LETA,37,22,N,6,0,W,14,X
SEWARD,PAWD,60,7,N,149,25,W,23,X
SEXTON SUMMIT,KSXT,42,36,N,123,22,W,1170,X
SEYCHELLES INTL,FSIA,4,40,S,55,31,E,3,X
SEYCHELLES INTL,FSSS,4,40,S,55,31,E,4,X
SEYMOUR(EQ-AFB/C,SEGS,0,27,S,90,16,W,16,X
SFAX/EL-MAOU,DTTX,34,43,N,10,40,E,23,X
SHAHRE-KORD,OIFS,32,19,N,50,51,E,2078,X
SHAHRISABZ,UTSH,39,2,N,66,47,E,599,X
SHAIBAH/BASRAH,ORMS,30,25,N,47,38,E,19,X
SHAKAWE,FBSW,18,22,S,21,51,E,1000,X
SHAKTOOLIK,PFSH,64,22,N,161,13,W,7,X
SHANGHAI/HONGQIA,ZSSS,31,12,N,121,20,E,7,X
SHANGHAI/PUDONG,ZSPD,31,9,N,121,48,E,4,X
SHANNON AIRPORT,EINN,52,42,N,8,55,W,20,X
SHAN-TOU,ZGOW,23,33,N,116,30,E,3,X
SHARANA,KQSR,33,8,N,68,50,E,2254,X
SHARJAH INTL ARP,OMSJ,25,19,N,55,31,E,33,X
SHARM EL SHEIKHI,HESH,27,58,N,34,23,E,50,X
SHARURAH (CIV/MI,OESH,17,28,N,47,7,E,722,X
SHAW AFB/SUMTER,KSSC,33,58,N,80,28,W,74,X
SHAWANO MUNI,KEZS,44,47,N,88,34,W,248,X
SHAWBURY RAF,EGOS,52,48,N,2,40,W,76,X
SHAWINIGAN,CXSH,46,35,N,72,44,W,110,X
SHAWNEE,KSNL,35,21,N,96,57,W,327,X
SHEARWATER(CAN M,CYAW,44,37,N,63,30,W,51,X
SHEBIRGHAN,OASG,36,40,N,65,43,E,360,X
SHEBOYGAN,KSBM,43,47,N,87,51,W,232,X
SHELBY MUNI,KEHO,35,15,N,81,36,W,258,X
SHELBYVILLE,KGEZ,39,35,N,85,48,W,245,X
SHELBYVILLE,KSYI,35,34,N,86,27,W,245,X
SHELDON,KSHL,43,13,N,95,49,W,432,X
SHELTER COVE,KO87,40,1,N,124,4,W,21,X
SHELTON,KSHN,47,14,N,123,8,W,82,X
SHENANDOAH MUNI,KSDA,40,45,N,95,25,W,296,X
SHENDI,HSND,16,41,N,33,25,E,360,X
SHENYANG/DONGTA,ZYYY,41,47,N,123,30,E,43,X
SHENYANG/TAOKIAN,ZYTX,41,38,N,123,29,E,35,X
SHENZHEN,ZGSZ,22,38,N,113,49,E,18,X
SHEPHERD BAY ARP,CYUS,68,49,N,93,25,W,42,X
SHERBROOKE,CYSC,45,26,N,71,41,W,241,X
SHERIDAN,KSHR,44,46,N,106,58,W,1202,X
SHERIDAN LAKE RD,KSL0,44,2,N,103,26,W,1478,X
SHERINGHAM AUTOB,CWSP,48,23,N,123,55,W,21,X
SHERMAN/DENISON,KGYI,33,43,N,96,40,W,228,X
SHILO,CWLO,49,46,N,99,37,W,373,X
SHIMOFUSA (JMSDF,RJTL,35,47,N,140,1,E,33,X
SHIMOJI-SHIMA IS,RORS,24,49,N,125,9,E,16,X
SHINDAND,OASD,33,23,N,62,16,E,1150,X
SHINGLE POINT AR,CYUA,68,57,N,137,17,W,38,X
SHINYANGA,HTSY,3,30,S,33,0,E,1100,X
SHIP C7L/ROMEO,GACA,47,0,N,17,0,W,0,X
SHIP C7M/MIKE,LDWR,66,0,N,2,0,E,0,X
SHIP SHOAL 207,KGSM,28,32,N,90,59,W,1,X
SHIP SHOAL178,KSPR,28,36,N,91,12,W,31,X
SHIRAK,UGEL,40,45,N,43,51,E,1524,X
SHIRAK,UDSG,40,45,N,43,52,E,1524,X
SHIRAZ (CIV/AFB),OISS,29,31,N,52,34,E,1491,X
SHIRLEY,KHWV,40,49,N,72,52,W,21,X
SHISHMAREF,PASH,66,16,N,166,5,W,2,X
SHIZOUKA,RJNS,34,48,N,138,11,E,135,X
SHIZUHAMA (JASDF,RJNY,34,49,N,138,18,E,10,X
SHOLAPUR,VASL,17,40,N,75,54,E,479,X
SHONAI,RJSY,38,49,N,139,46,E,22,X
SHOREHAM-BY-SEA,EGKA,50,50,N,0,18,W,2,X
SHOW LOW MUNICIP,KSOW,34,16,N,110,0,W,1954,X
SHREVEPORT,KSHV,32,27,N,93,50,W,83,X
SHREVEPORT/DWNTN,KDTN,32,33,N,93,45,W,53,X
SHUNGNAK,PAGH,66,53,N,157,10,W,60,X
SHUTE CREEK,KSHC,41,56,N,109,58,W,2043,X
SIALKOT AIRPORT,OPST,32,32,N,74,22,E,247,X
SIAULIAI INTL,EYSA,55,54,N,23,24,E,135,X
SIBI,OPSB,29,33,N,67,52,E,134,X
SIBITI,FCBS,3,40,S,13,20,E,531,X
SIBIU/TURNISOR,LRSB,45,47,N,24,5,E,444,X
SIBLEY PEAK,KSIB,42,27,N,105,2,W,1500,X
SIBOLGA/PINANGSO,WIMS,1,33,N,98,52,E,3,X
SIBU,WBGS,2,16,N,111,59,E,8,X
SIDI IFNI,GMMF,29,22,N,10,10,W,66,X
SIDI SLIMANE,GMSL,34,13,N,6,2,W,52,X
SIDNEY,KSNY,41,6,N,102,59,W,1307,X
SIDNEY,KN23,42,18,N,75,25,W,313,X
SIDNEY RICHLAND,KSDY,47,42,N,104,12,W,605,X
SIEGERLAND,EDGS,50,42,N,8,5,E,602,X
SIEMREAP,VDSR,13,25,N,103,50,E,15,X
SIENA,LIQS,43,19,N,11,20,E,322,X
SIERRA B/RUIDOSO,KSRR,33,28,N,105,31,W,2076,X
SIGONELLA (NAS),LICZ,37,23,N,14,55,E,22,X
SIGONELLA NAS,EQYS,37,24,N,14,56,E,22,X
SIGUIRI,GUSI,11,25,N,9,10,W,366,X
SIIRT AIRPORT,LTCL,37,59,N,41,50,E,610,X
SIKANNI CHIEF AU,CWKS,57,15,N,122,43,W,937,X
SIKASSO,GASK,11,20,N,5,40,W,375,X
SIKESTON,KSIK,36,54,N,89,34,W,96,X
SILER CITY,K5W8,35,42,N,79,30,W,188,X
SILOAM SPRING,KSLG,36,12,N,94,28,W,300,X
SILVER BAY,KBFW,47,15,N,91,24,W,331,X
SILVER CITY,KSVC,32,38,N,108,9,W,1659,X
SIMANGGANG,WBGY,1,13,N,111,26,E,34,X
SIMENTI,GOTS,13,3,N,13,18,W,52,X
SIMFEROPOL',UKFF,45,2,N,33,59,E,188,X
SIMPANG (AFB),WMKF,3,7,N,101,42,E,34,X
SIMRA AIRPORT,VNSI,27,10,N,84,58,E,137,X
SINDAL AIRPORT,EKSN,57,30,N,10,13,E,28,X
SINGAPORE/CHANGI,WSSS,1,22,N,103,58,E,16,X
SINGAPORE/SELETA,WSSL,1,25,N,103,52,E,14,X
SINGAPORE/TENGAH,WSAT,1,22,N,103,43,E,12,X
SINGKAWANG II,WIOI,1,4,N,109,40,E,38,X
SINGKEP/DABO,WIKS,0,28,S,104,34,E,31,X
SINNAM RWS,KQEI,37,58,N,128,5,E,195,X
SINOP AIRPORT,LTCM,42,1,N,35,4,E,8,X
SINTANG/SUSILO(A,WIOS,0,7,N,111,31,E,30,X
SINTRA/GRANJA (A,LPST,38,49,N,9,19,W,130,X
SION (MIL),LSMS,46,13,N,7,19,E,481,X
SION (MIL/CIV/AU,LSGS,46,13,N,7,19,E,481,X
SIOUX CITY,KSUX,42,23,N,96,23,W,338,X
SIOUX FALLS,KFSD,43,35,N,96,45,W,436,X
SIOUX LOOKOUT AR,CYXL,50,7,N,91,54,W,390,X
SIPALIWINI,SMSI,2,1,N,56,7,W,265,X
SIR SERETSE KHAM,FBSK,24,33,S,25,55,E,1005,X
SIREN,KRZN,45,49,N,92,22,W,301,X
SIRNAK,LTCV,37,22,N,42,4,E,621,X
SIRRI ISLAND,OIBS,25,55,N,54,32,E,14,X
SISHEN,FASS,27,38,S,23,0,E,1173,X
SISIMIUT,BGSS,66,57,N,53,44,W,50,X
SISSETON,K8D3,45,40,N,96,59,W,354,X
SISTERS IL AUTOB,CWGT,49,29,N,124,26,W,5,X
SITEKI,FDST,26,26,S,31,57,E,667,X
SITIAWAN,WMBA,4,13,N,100,42,E,8,X
SITKA,PASI,57,4,N,135,21,W,5,X
SITTWE/AKYAB,VYSW,20,7,N,92,52,E,5,X
SIVAS (CIV/MIL),LTAR,39,48,N,36,54,E,1271,X
SIVRIHISAR,LTAV,39,27,N,31,21,E,96,X
SKAGWAY,PAGY,59,28,N,135,18,W,5,X
SKAVSTA/STOCKHO,ESKN,58,47,N,16,54,E,43,X
SKELLEFTEA AIRPO,ESNS,64,37,N,21,4,E,49,X
SKIATHOS ISLAND,LGSK,39,11,N,23,30,E,15,X
SKIEN/GEITERYGGE,ENSN,59,10,N,9,34,E,14,X
SKIKDA,DABP,36,55,N,6,57,E,7,X
SKIROS,LGSY,38,58,N,24,29,E,15,X
SKIVE AIRPORT,EKSV,56,32,N,9,10,E,21,X
SKJALDTHINGSSTAD,BIVO,65,45,N,14,49,W,48,X
SKOPJE,KQUH,41,58,N,21,38,E,238,X
SKOPJE/PETROVAC,LWSK,41,58,N,21,38,E,239,X
SKOVDE AIRPORT,ESGR,58,27,N,13,58,E,105,X
SKRYDSTRUP(DAN-A,EKSP,55,13,N,9,16,E,40,X
SKWENTNA,PASW,61,58,N,151,12,W,48,X
SKYLINE,KSKL,41,7,N,106,34,W,2451,X
SLANA,PADT,62,43,N,143,51,W,730,X
SLAVE LAKE AIRPO,CYZH,55,17,N,114,46,W,581,X
SLAYTON,KDVP,43,59,N,95,47,W,495,X
SLEETMUTE,PASL,61,43,N,157,9,W,55,X
SLEIPNER A PLATF,ENSL,58,22,N,1,54,E,50,X
SLIAC,LZSL,48,38,N,19,8,E,313,X
SLIDELL 22,KASD,30,21,N,89,49,W,9,X
SLIGO ARPT,EISG,54,17,N,8,35,W,3,X
SMITH CENTER,KK82,39,46,N,98,48,W,549,X
SMITHERS AIRPORT,CYYD,54,49,N,127,11,W,523,X
SMITHFIELD JOHNS,KJNX,35,32,N,78,23,W,50,X
SMOKY LAKE AGDM,CXSL,54,17,N,112,30,W,680,X
SMYRNA,KMQY,36,1,N,86,31,W,166,X
SNORRE A OILP,ENSE,61,27,N,2,9,E,10,X
SNORRE B OILP,ENQR,61,21,N,2,13,E,10,X
SNOWSHOE LAKE,PALK,62,2,N,142,40,W,735,X
SNYDER/WINSTON,KSNK,32,42,N,100,57,W,741,X
SOCORRO,KONM,34,1,N,106,54,W,1410,X
SOCOTRA ISLAND,OYSQ,12,37,N,53,53,E,45,X
SODA SPRINGS,KU78,42,38,N,111,34,W,1780,X
SODANKYLA,EFSO,67,22,N,26,38,E,179,X
SODERHAMN (SWE-A,ESNY,61,16,N,17,6,E,36,X
SOEKARNO-HATTA I,WIII,6,8,S,106,40,E,8,X
SOESTERBERG RNLA,EHSB,52,7,N,5,16,E,13,X
SOFIA (OBSERVATO,LBSF,42,39,N,23,23,E,595,X
SOGNDAL/HAUKASEN,ENSG,61,8,N,7,7,E,497,X
SOHAR MAJIS,OOSH,24,28,N,56,37,E,4,X
SOKCHO AIRPORT,RKND,38,7,N,128,35,E,14,X
SOKODE,DXSK,8,58,N,1,8,E,387,X
SOKOTO,DNSO,12,55,N,5,12,E,302,X
SOLA/VANUA LAVA,NVSC,13,50,S,167,33,E,18,X
SOLANDER ISL (MA,CWRU,50,7,N,127,56,W,98,X
SOLDOTNA,PASX,60,29,N,151,2,W,32,X
SOLENZARA (FAFB),LFKS,41,55,N,9,24,E,22,X
SOLWEZI,FLSW,12,10,S,26,22,E,1386,X
SOMERSET,KSME,37,3,N,84,37,W,283,X
SOMERVILLE,KSMQ,40,37,N,74,40,W,30,X
SONDERBORG AIRPO,EKSB,54,58,N,9,48,E,23,X
SONDRE STROMFJOR,BGSF,67,0,N,50,43,W,53,X
SONGEA,HTSO,10,40,S,35,34,E,1067,X
SONGKHLA(THAI-NA,VTSH,7,12,N,100,35,E,5,X
SONGMU (KOR-AFB),RKTE,36,23,N,127,30,E,79,X
SONGO,FQSG,15,35,S,32,46,E,882,X
SONORA,KSOA,30,35,N,100,39,W,652,X
SORKJOSEN,ENSR,69,46,N,20,58,E,6,X
SOROAKO/LUWU,WAAS,2,31,S,121,20,E,10,X
SORONG/JEFMAN,WASS,0,55,S,131,7,E,3,X
SOROTI,HUSO,1,43,N,33,37,E,1123,X
SORVAAG/VAGAR,EKVG,62,4,N,7,18,W,85,X
SOTCHI,URSS,43,27,N,39,56,E,16,X
SOTO CANO AB,MHSC,14,22,N,87,37,W,626,X
SOUANKE,FCOS,2,4,N,14,7,E,550,X
SOUDA BAY NAS,KQNC,35,32,N,24,9,E,150,X
SOUDA BAY NAS,EQYG,35,32,N,24,9,E,150,X
SOUDA/KHANIA (AF,LGSA,35,32,N,24,8,E,135,X
SOUTH BEND,KSBN,41,42,N,86,19,W,237,X
SOUTH HAVEN,KLWA,42,21,N,86,15,W,203,X
SOUTH HILL/MECKL,KAVC,36,41,N,78,2,W,135,X
SOUTH LAKE TAHOE,KTVL,38,54,N,120,0,W,1924,X
SOUTH PADRE IS,KSPL,26,4,N,97,9,W,4,X
SOUTH PASS,KFWZ,42,31,N,108,47,W,2588,X
SOUTH ST PAUL,KSGS,44,51,N,93,2,W,250,X
SOUTH TIMBALIER,KS58,28,31,N,90,34,W,1,X
SOUTH WEYMOUTH,KNZW,42,8,N,70,55,W,49,X
SOUTHAMPTON WX C,EGHI,50,57,N,1,21,W,14,X
SOUTHEND (AUTOB),CWJH,56,19,N,103,16,W,344,X
SOUTHEND-ON-SEA,EGMC,51,34,N,0,42,E,15,X
SOUTHERN PINES,KSOP,35,13,N,79,24,W,141,X
SOUTHPORT,KSUT,33,56,N,78,5,W,8,X
SPA/LA SAUVENIER,EBSP,50,28,N,5,55,E,482,X
SPADEADAM,EGOM,55,2,N,2,32,W,325,X
SPANGDAHLEM (USA,ETAD,49,59,N,6,42,E,365,X
SPARREVOHN,PASV,61,6,N,155,34,W,484,X
SPARTA,KSAR,38,9,N,89,42,W,164,X
SPARTA,KSRB,36,3,N,85,32,W,313,X
SPARTA/MCCOY AAF,KCMY,43,58,N,90,44,W,256,X
SPARTANBURG,KSPA,34,55,N,81,56,W,303,X
SPARWOOD (AUTOB),CWGW,49,45,N,114,54,W,1137,X
SPARWOOD/ELK VAL,CWSW,49,45,N,114,52,W,1138,X
SPEARFISH/CLYDE,KSPF,44,28,N,103,46,W,1188,X
SPENCE BAY AIRPO,CYYH,69,32,N,93,34,W,28,X
SPENCER,KSPW,43,10,N,95,13,W,403,X
SPENCER,KS14,44,21,N,112,10,W,1800,X
SPICKARD,KP35,40,15,N,93,43,W,270,X
SPIRIT RIVER,CXSR,55,42,N,119,14,W,1015,X
SPIRITWOOD WEST,CWSR,53,22,N,107,32,W,584,X
SPLIT/KASTEL STA,LDSP,43,31,N,16,18,E,21,X
SPOKANE/FELTS,KSFF,47,41,N,117,19,W,609,X
SPOKANE/METRO,KGEG,47,37,N,117,32,W,735,X
SPRIGGS PAYNE/MO,GLMR,6,19,N,10,45,W,12,X
SPRINGBOK,FASB,29,40,S,17,52,E,990,X
SPRINGDALE MUNI,KASG,36,10,N,94,7,W,412,X
SPRINGFIELD,KSPD,37,17,N,102,37,W,1335,X
SPRINGFIELD,KSPI,39,51,N,89,41,W,181,X
SPRINGFIELD,KSGF,37,14,N,93,23,W,390,X
SPRINGFIELD,KVSF,43,21,N,72,31,W,175,X
SPRINGFIELD MUNI,KSGH,39,50,N,83,50,W,321,X
SPRINGS,FASI,26,15,S,28,24,E,1628,X
SQUAMISH (AUTOB),CWSK,49,47,N,123,10,W,60,X
SQUAMISH (AUTOB),CYSE,49,47,N,123,10,W,52,X
SRINAGAR (CIV/MI,VISR,33,58,N,74,46,E,1666,X
ST ANICET,CWBZ,45,7,N,74,16,W,49,X
ST ATHAN RAF,EGDX,51,24,N,3,26,W,50,X
ST AUGUSTINE,KSGJ,29,58,N,81,19,W,3,X
ST CATHERINE,HESC,28,41,N,34,4,E,1332,X
ST CELESTIN,CMSC,46,12,N,72,27,W,55,X
ST CHRYSOSTOME,CMYT,45,8,N,73,46,W,55,X
ST CLOTHILDE (A,CWIT,45,10,N,73,40,W,52,X
ST CONSTANT,CMCT,45,20,N,73,35,W,39,X
ST ETIENNE/BOUTH,LFMH,45,31,N,4,17,E,402,X
ST FOY/U LAVAL,CWJB,46,47,N,71,16,W,91,X
ST FRANCIS,KSYF,39,46,N,101,48,W,1025,X
ST GATIEN,LFRG,49,22,N,0,9,E,146,X
ST GEDEON,CWIU,48,29,N,71,47,W,103,X
ST GEORGE,PAPB,56,35,N,169,40,W,35,X
ST HENRI,CWIA,48,39,N,71,51,W,103,X
ST JOHNS ARP,CYYT,47,37,N,52,43,W,140,X
ST JOHNS WEST,CXSW,47,31,N,52,47,W,114,X
ST JOVITE (AUTOB,CWJT,46,4,N,74,34,W,239,X
ST LAURENT DU MA,SOOM,5,30,N,54,1,W,9,X
ST LEONARD AUTOB,CWIY,47,8,N,67,49,W,241,X
ST MAARTEN JULIA,TNCM,18,3,N,63,7,W,4,X
ST MARY HOSPITAL,K9MN,44,1,N,92,29,W,355,X
ST MARYS (DUKE),K2W6,38,19,N,76,33,W,44,X
ST M-D-NAPIERVIL,CMSX,45,11,N,73,37,W,59,X
ST MICHAEL,PAMK,63,29,N,162,7,W,28,X
ST PAUL AGDM,CXSP,54,1,N,111,16,W,649,X
ST PAUL ISLAND,PASN,57,9,N,170,13,W,29,X
ST PETERS,CZSP,46,27,N,62,35,W,30,X
ST PETERS/ALBERT,KSPG,27,46,N,82,38,W,2,X
ST PETERSBURG,KPIE,27,55,N,82,41,W,4,X
ST PETERSBURG,ULLI,59,48,N,30,16,E,4,X
ST PIERRE-FRANCE,LFVP,46,46,N,56,11,W,8,X
ST POLYCARPE,CMPL,45,18,N,74,18,W,56,X
ST SABINE,CMSB,45,13,N,73,1,W,49,X
ST THOMAS (KING),TIST,18,20,N,64,59,W,7,X
ST. CATHARINES A,CYSN,43,12,N,79,10,W,98,X
ST. CHARLES,KSET,38,56,N,90,26,W,134,X
ST. CLOUD,KSTC,45,33,N,94,3,W,314,X
ST. DENIS/GILLOT,FMEE,20,52,S,55,31,E,25,X
ST. DIZIER/ROBIN,LFSI,48,37,N,4,54,E,140,X
ST. GIRONS/ANTIC,LFCG,43,0,N,1,6,E,412,X
ST. JAMES,KJYG,43,59,N,94,33,W,325,X
ST. JOHNS,KSJN,34,31,N,109,23,W,1745,X
ST. JOHNSBURY,K1V4,44,25,N,72,1,W,210,X
ST. JOSEPH,KSTJ,39,46,N,94,55,W,247,X
ST. LOUIS,KSTL,38,45,N,90,22,W,171,X
ST. LOUIS/SPIRIT,KSUS,38,39,N,90,39,W,141,X
ST. NAZAIRE/MONT,LFRZ,47,19,N,2,10,W,4,X
ST. PAUL,KSTP,44,56,N,93,3,W,219,X
ST. PAUL ISL(MAP,CWEF,47,13,N,60,7,W,26,X
ST. PIERRE/FONDS,FMEP,21,19,S,55,25,E,53,X
ST. QUENTIN/ROUP,LFOW,49,49,N,3,12,E,101,X
ST. STEPHEN (MAR,CWSS,45,12,N,67,15,W,26,X
ST. TRUIDEN (BAF,EBST,50,47,N,5,12,E,75,X
STAFFORD REGNL,KRMN,38,24,N,77,27,W,65,X
STAMPEDE PASS,KSMP,47,17,N,121,20,W,1208,X
STANLEY,KSNT,44,10,N,114,56,W,1980,X
STANLEY,K08D,48,18,N,102,24,W,684,X
STANLEY AIRPORT,SFAL,51,40,S,57,46,W,23,X
STANSTED AIRPORT,EGSS,51,53,N,0,13,E,106,X
STANTON,KSYN,44,29,N,93,1,W,280,X
STAPLES,KSAZ,46,22,N,94,48,W,392,X
STARKVILLE,KSTF,33,26,N,88,51,W,102,X
STATE COLLEGE,KUNV,40,51,N,77,50,W,378,X
STATESBORO,KTBR,32,29,N,81,44,W,57,X
STATESVILLE,KSVH,35,45,N,80,57,W,294,X
STATFJORD A OILP,ENSF,61,15,N,1,51,E,10,X
STATFJORD B OILP,ENFB,61,12,N,1,50,E,10,X
ST-AUBAN-SUR-DUR,LFMX,44,4,N,6,0,E,461,X
STAUNING AIRPORT,EKVJ,55,58,N,8,20,E,5,X
STAUNTON/SHENAND,KSHD,38,16,N,78,54,W,366,X
STAVANGER/SOLA(A,ENZV,58,52,N,5,37,E,9,X
STAVERTON (PRIVA,EGBJ,51,54,N,2,10,W,29,X
STAVROPOL/SHPAKO,URMT,45,7,N,42,7,E,453,X
STE ANNE DE BELL,CWVQ,45,25,N,73,55,W,39,X
STEAMBOAT SPRING,KSBS,40,31,N,106,52,W,2096,X
STEFANSSON IS,CXSE,73,46,N,105,17,W,11,X
STEPHENVILLE,KSEP,32,13,N,98,10,W,402,X
STEPHENVILLE ARP,CYJT,48,33,N,58,34,W,26,X
STERLING,KSTK,40,37,N,103,16,W,1231,X
STERLING,CYQC,46,19,N,77,38,W,139,X
STERLING ROCKFAL,KSQI,41,45,N,89,40,W,197,X
STETTLER AGDM,CXAK,52,21,N,112,36,W,795,X
STEVENS POINT,KSTE,44,32,N,89,31,W,338,X
STEVENSVILLE,KW29,38,59,N,76,20,W,15,X
STEWART AIRPORT,CZST,55,55,N,129,58,W,7,X
STIGLER,KGZL,35,17,N,95,6,W,183,X
STILLWATER,KSWO,36,10,N,97,5,W,290,X
STOCKHOLM/ARLAND,ESSA,59,38,N,17,56,E,61,X
STOCKHOLM/BROMMA,ESSB,59,21,N,17,56,E,11,X
STOCKTON,KSCK,37,53,N,121,13,W,10,X
STOELMANSEILAND,SMST,4,20,N,54,25,W,52,X
STONY RAPIDS ARP,CYSF,59,15,N,105,49,W,250,X
STONY RIVER LAND,PAER,61,16,N,153,48,W,345,X
STORD/SOERSTOKKE,ENSO,59,47,N,5,20,E,49,X
STORKMARKNES/SKA,ENSK,68,34,N,15,1,E,3,X
STORM HILLS,CWVH,68,54,N,133,56,W,261,X
STORM LAKE,KSLB,42,36,N,95,13,W,454,X
STORNOWAY,EGPO,58,13,N,6,19,W,13,X
STORUMAN,ESUD,64,58,N,17,42,E,279,X
STRASBOURG/ENTZH,LFST,48,32,N,7,37,E,154,X
STRATHMORE AGDM,CPST,51,2,N,113,17,W,967,X
STRATTON,KSTR,39,18,N,102,36,W,1345,X
STRUBBY HELIPORT,EGCG,53,19,N,0,10,E,14,X
STUART/WITHAM,KSUA,27,11,N,80,13,W,6,X
STUNG TRENG,VDST,13,31,N,105,58,E,56,X
STURGEON BAY,KSUE,44,51,N,87,25,W,221,X
STURGIS,K49B,44,25,N,103,23,W,989,X
STURGIS/KIRSCH,KIRS,41,48,N,85,26,W,282,X
STUTTGART,KSGT,34,36,N,91,34,W,68,X
STUTTGART/ECHTER,EDDS,48,40,N,9,13,E,419,X
STYKKISHOLMUR,BIST,65,4,N,22,43,W,8,X
SUA-PAN,FBSN,20,28,S,25,58,E,904,X
SUCEAVA/SALCEA,LRSV,47,41,N,26,21,E,351,X
SUCRE/JUANA AZUR,SLSU,19,1,S,65,16,W,2903,X
SUDBURY AIRPORT,CYSB,46,38,N,80,48,W,348,X
SUFFIELD AIRPORT,CYSD,50,16,N,111,10,W,770,X
SUFFOLK,KSFQ,36,41,N,76,36,W,22,X
SUIPPES RANGE (M,LFFS,49,8,N,4,31,E,199,X
SUKHOTHAI,VTPO,17,14,N,99,49,E,54,X
SUKKERTOPPEN,BGST,65,25,N,53,0,W,24,X
SUKKUR,OPSK,27,43,N,68,48,E,58,X
SULAYMANIYAH,ORSU,35,34,N,45,19,E,761,X
SULEYMAN DEMIREL,LTFC,37,52,N,30,23,E,864,X
SULLIVAN,KUUV,38,14,N,91,10,W,284,X
SULPHUR,KUXL,30,8,N,93,23,W,4,X
SULPHUR SPRINGS,KSLR,33,10,N,95,37,W,149,X
SUMBAWA BESAR,WRRS,8,25,S,117,25,E,3,X
SUMBAWANGA,HTSU,7,57,S,31,40,E,1804,X
SUMBURGH (CAPE),EGPB,59,52,N,1,18,W,5,X
SUMMERLAND (AUTO,CWUS,49,34,N,119,39,W,454,X
SUMMERSIDE (AUTO,CWSD,46,25,N,63,51,W,24,X
SUMMERVILLE,KDYB,33,4,N,80,17,W,18,X
SUMMIT,KSUM,45,20,N,97,5,W,607,X
SUMTER,KSMS,34,0,N,80,22,W,56,X
SUNDRE,CWAV,51,46,N,114,40,W,1114,X
SUNDSVALL/HARNOS,ESNN,62,31,N,17,26,E,10,X
SUNGSHAN/TAIPEI,RCSS,25,4,N,121,32,E,6,X
SUNLIGHT,K5SM,39,26,N,107,23,W,3232,X
SUNYANI,DGSN,7,19,N,2,19,W,312,X
SUOMUSSALMI,EFSU,64,54,N,29,1,E,224,X
SUPERIOR,KSUW,46,41,N,92,6,W,206,X
SUR,OOSR,22,31,N,59,28,E,14,X
SURABAYA/GEDANGA,WRSS,7,13,S,112,43,E,3,X
SURABAYA/JUANDA,WRSJ,7,22,S,112,46,E,3,X
SURABAYA/PERAK,WRSP,7,13,S,112,43,E,3,X
SURAKARTA/ADISUM,WRSQ,7,52,S,110,55,E,104,X
SURAT THANI,VTSB,9,7,N,99,8,E,11,X
SURGUT,USRR,61,20,N,73,25,E,44,X
SURIGAO/MINDANAO,RPWS,9,48,N,125,30,E,55,X
SURIN,VTUJ,14,52,N,103,30,E,146,X
SURKHET,VNSK,28,36,N,81,37,E,720,X
SUSANVILLE MUNI,KSVE,40,22,N,120,34,W,1263,X
SUSSEX,KFWN,41,12,N,74,38,W,133,X
SUTTON,PAJV,61,43,N,148,53,W,263,X
SUTTON/BRAXTON,K48I,38,41,N,80,39,W,397,X
SUWON (US/KOR-AF,RKSW,37,15,N,127,0,E,24,X
SV RI SAN,RKSC,37,21,N,126,55,E,406,X
SVALBARD/LONGYEA,ENSB,78,15,N,15,28,E,29,X
SVARTNES,ENSS,70,20,N,31,3,E,12,X
SVOLVAER/HELLE,ENSH,68,15,N,14,40,E,9,X
SWAINSBORO,KSBO,32,37,N,82,22,W,100,X
SWAN RIVER (MARS,CWEQ,52,7,N,101,13,W,335,X
SWANSEA,EGFH,51,36,N,4,4,W,90,X
SWARTKOP (SAAF),FASK,25,49,S,28,10,E,1457,X
SWEETWATER,KSWW,32,28,N,100,28,W,727,X
SWIFT CURREN,CYYN,50,16,N,107,40,W,818,X
SYAMSUDIN NOOR,WAOO,3,27,S,114,46,E,20,X
SYDFYNS/TASINGE,EKST,55,1,N,10,34,E,6,X
